"ATG","BrOr1","BrOr2"
"AT1G04290","BraA08g34290R","BraA10g03450R"
"AT1G04310","BraA08g34270R","BraA10g03470R"
"AT1G04330","BraA09g64190R","BraA10g03480R"
"AT1G04340","BraA08g34260R","BraA10g03490R"
"AT1G04360","BraA09g64170R","BraA10g03510R"
"AT1G04370","BraA09g64160R","BraA10g03520R"
"AT1G04380","BraA08g34240R","BraA10g03540R"
"AT1G04400","BraA08g34230R","BraA10g03560R"
"AT1G04430","BraA08g34210R","BraA10g03580R"
"AT1G04440","BraA09g64150R","BraA10g03590R"
"AT1G04470","BraA09g64110R","BraA10g03600R"
"AT1G04500","BraA08g34170R","BraA10g03630R"
"AT1G04510","BraA08g34160R","BraA10g03640R"
"AT1G04540","BraA09g64080R","BraA10g03680R"
"AT1G04610","BraA09g64030R","BraA10g03750R"
"AT1G04650","BraA08g34080R","BraA10g03780R"
"AT1G04670","BraA09g63990R","BraA10g03830R"
"AT1G04690","BraA08g34050R","BraA10g03850R"
"AT1G04770","BraA08g34010R","BraA10g03880R"
"AT1G04850","BraA08g33990R","BraA10g03980R"
"AT1G04880","BraA09g63950R","BraA10g03990R"
"AT1G05020","BraA08g33920R","BraA10g04150R"
"AT1G05190","BraA09g63840R","BraA10g04370R"
"AT1G05250","BraA09g63790R","BraA10g04430R"
"AT1G05270","BraA08g33830R","BraA10g04440R"
"AT1G05290","BraA09g63750R","BraA10g04500R"
"AT1G05310","BraA09g63740R","BraA10g04580R"
"AT1G05320","BraA09g63730R","BraA10g04590R"
"AT1G05350","BraA09g63720R","BraA10g04620R"
"AT1G05370","BraA09g63700R","BraA10g04640R"
"AT1G05420","BraA09g63690R","BraA10g04690R"
"AT1G05470","BraA08g33810R","BraA10g04770R"
"AT1G05500","BraA08g33800R","BraA10g04790R"
"AT1G05600","BraA09g63640R","BraA10g04920R"
"AT1G05680","BraA08g33710R","BraA10g04980R"
"AT1G05700","BraA08g33700R","BraA10g04990R"
"AT1G05790","BraA08g33670R","BraA10g05040R"
"AT1G06030","BraA09g63500R","BraA10g05170R"
"AT1G06080","BraA09g63480R","BraA10g05210R"
"AT1G06110","BraA08g33540R","BraA10g05220R"
"AT1G06137","BraA09g63430R","BraA10g05230R"
"AT1G06160","BraA09g63410R","BraA10g05240R"
"AT1G06200","BraA08g33530R","BraA10g05340R"
"AT1G06250","BraA08g33500R","BraA10g05420R"
"AT1G06260","BraA08g33490R","BraA10g05440R"
"AT1G06460","BraA08g33420R","BraA10g05560R"
"AT1G06470","BraA08g33410R","BraA10g05570R"
"AT1G06490","BraA09g63280R","BraA10g05590R"
"AT1G06515","BraA09g63260R","BraA10g05600R"
"AT1G06590","BraA09g63230R","BraA10g05670R"
"AT1G06680","BraA08g33360R","BraA10g05720R"
"AT1G06720","BraA09g63180R","BraA10g05740R"
"AT1G06780","BraA09g63150R","BraA10g05800R"
"AT1G06830","BraA09g63120R","BraA10g05820R"
"AT1G06870","BraA09g63100R","BraA10g05860R"
"AT1G06900","BraA09g63080R","BraA10g05880R"
"AT1G06930","BraA09g63040R","BraA10g05890R"
"AT1G06950","BraA08g33310R","BraA10g05900R"
"AT1G06990","BraA09g63020R","BraA10g05930R"
"AT1G07050","BraA08g33270R","BraA10g05990R"
"AT1G07175","BraA08g33200R","BraA10g06160R"
"AT1G07280","BraA09g62870R","BraA10g06300R"
"AT1G07290","BraA09g62860R","BraA10g06310R"
"AT1G07310","BraA09g62850R","BraA10g06320R"
"AT1G07473","BraA08g33090R","BraA10g06510R"
"AT1G07490","BraA08g33080R","BraA10g06540R"
"AT1G07540","BraA08g33050R","BraA10g06570R"
"AT1G07550","BraA08g33010R","BraA10g06600R"
"AT1G07645","BraA09g62680R","BraA06g05280R"
"AT1G07660","BraA09g62650R","BraA06g05290R"
"AT1G07720","BraA08g32920R","BraA06g05390R"
"AT1G07750","BraA08g32950R","BraA06g05320R"
"AT1G07820","BraA08g32900R","BraA06g05430R"
"AT1G07830","BraA09g62630R","BraA06g05440R"
"AT1G07910","BraA09g62580R","BraA06g05490R"
"AT1G07980","BraA09g62550R","BraA06g05550R"
"AT1G08030","BraA08g32800R","BraA06g05590R"
"AT1G08035","BraA08g32790R","BraA06g05600R"
"AT1G08050","BraA08g32780R","BraA06g05620R"
"AT1G08060","BraA09g62510R","BraA06g05630R"
"AT1G08130","BraA09g62490R","BraA06g05710R"
"AT1G08135","BraA09g62480R","BraA06g05720R"
"AT1G08180","BraA08g32750R","BraA06g05770R"
"AT1G08320","BraA09g62400R","BraA06g05880R"
"AT1G08440","BraA08g32650R","BraA06g05960R"
"AT1G08570","BraA09g62290R","BraA06g06050R"
"AT1G08580","BraA09g62280R","BraA06g06060R"
"AT1G08600","BraA09g62270R","BraA06g06070R"
"AT1G08620","BraA08g32560R","BraA06g06080R"
"AT1G08630","BraA08g32550R","BraA06g06090R"
"AT1G08660","BraA09g62240R","BraA06g06130R"
"AT1G08790","BraA08g32490R","BraA06g06210R"
"AT1G08800","BraA08g32480R","BraA06g06220R"
"AT1G08810","BraA08g32470R","BraA06g06230R"
"AT1G08845","BraA09g62150R","BraA06g06250R"
"AT1G08970","BraA08g32390R","BraA06g06300R"
"AT1G09050","BraA08g32350R","BraA06g06370R"
"AT1G09150","BraA08g32310R","BraA06g06400R"
"AT1G09155","BraA08g32300R","BraA06g06410R"
"AT1G09160","BraA08g32290R","BraA06g06420R"
"AT1G09310","BraA08g32170R","BraA06g06550R"
"AT1G09320","BraA09g61990R","BraA06g06540R"
"AT1G09370","BraA09g61970R","BraA06g06580R"
"AT1G09530","BraA09g61930R","BraA06g06730R"
"AT1G09550","BraA08g32050R","BraA06g06750R"
"AT1G09570","BraA09g61890R","BraA06g06770R"
"AT1G09575","BraA08g32030R","BraA06g06790R"
"AT1G09580","BraA08g32020R","BraA06g06800R"
"AT1G09620","BraA09g61870R","BraA06g06830R"
"AT1G09700","BraA08g31940R","BraA06g06890R"
"AT1G09730","BraA08g31930R","BraA06g06920R"
"AT1G09740","BraA08g31920R","BraA06g06930R"
"AT1G09770","BraA08g31860R","BraA06g06950R"
"AT1G09790","BraA08g31840R","BraA06g06960R"
"AT1G09812","BraA08g31830R","BraA06g07010R"
"AT1G09830","BraA08g31820R","BraA06g07040R"
"AT1G09840","BraA08g31810R","BraA06g07050R"
"AT1G09920","BraA08g31790R","BraA06g07120R"
"AT1G09932","BraA08g31780R","BraA06g07130R"
"AT1G09950","BraA09g61730R","BraA06g07150R"
"AT1G09960","BraA09g61720R","BraA06g07160R"
"AT1G09980","BraA09g61700R","BraA06g07180R"
"AT1G10095","BraA09g20600R","BraA06g40930R"
"AT1G10130","BraA09g61640R","BraA06g07240R"
"AT1G10200","BraA08g31610R","BraA06g07320R"
"AT1G10410","BraA09g61530R","BraA06g07510R"
"AT1G10510","BraA08g31420R","BraA06g07670R"
"AT1G10620","BraA08g31370R","BraA06g07780R"
"AT1G10650","BraA08g31340R","BraA06g07810R"
"AT1G10730","BraA09g61380R","BraA06g07880R"
"AT1G10880","BraA08g31250R","BraA06g07960R"
"AT1G10940","BraA09g61240R","BraA06g08000R"
"AT1G11040","BraA08g31200R","BraA06g08030R"
"AT1G11080","BraA08g31190R","BraA06g08060R"
"AT1G11090","BraA08g31180R","BraA06g08070R"
"AT1G11125","BraA09g61160R","BraA06g08100R"
"AT1G11130","BraA09g61130R","BraA06g08110R"
"AT1G11170","BraA08g31150R","BraA06g08120R"
"AT1G11240","BraA08g31120R","BraA06g08150R"
"AT1G11390","BraA09g61060R","BraA06g08290R"
"AT1G11410","BraA08g31000R","BraA06g08320R"
"AT1G11430","BraA08g30990R","BraA06g08330R"
"AT1G11500","BraA09g61000R","BraA06g08380R"
"AT1G11572","BraA08g30950R","BraA06g08410R"
"AT1G11655","BraA09g60910R","BraA06g08460R"
"AT1G11690","BraA08g30860R","BraA06g08490R"
"AT1G11720","BraA08g30840R","BraA06g08510R"
"AT1G12010","BraA09g60670R","BraA06g09800R"
"AT1G12020","BraA08g30670R","BraA06g09810R"
"AT1G12030","BraA08g30660R","BraA06g09820R"
"AT1G12040","BraA08g30650R","BraA06g09830R"
"AT1G12064","BraA09g60660R","BraA06g09840R"
"AT1G12090","BraA08g30590R","BraA06g09530R"
"AT1G12200","BraA09g60580R","BraA06g09480R"
"AT1G12240","BraA09g60500R","BraA06g09450R"
"AT1G12360","BraA09g60410R","BraA06g09370R"
"AT1G12390","BraA08g30410R","BraA06g09350R"
"AT1G12400","BraA08g30400R","BraA06g09340R"
"AT1G12420","BraA08g30390R","BraA06g09320R"
"AT1G12450","BraA09g60350R","BraA06g09300R"
"AT1G12500","BraA08g30360R","BraA06g09240R"
"AT1G12540","BraA09g60330R","BraA06g09210R"
"AT1G12570","BraA08g30330R","BraA06g09170R"
"AT1G12740","BraA09g60200R","BraA06g09080R"
"AT1G12760","BraA09g60190R","BraA06g09060R"
"AT1G12805","BraA08g30220R","BraA06g09000R"
"AT1G12900","BraA09g60130R","BraA06g08940R"
"AT1G12930","BraA09g60120R","BraA06g08890R"
"AT1G12980","BraA09g60080R","BraA06g08880R"
"AT1G13120","BraA09g59640R","BraA06g08810R"
"AT1G13210","BraA09g59740R","BraA06g08740R"
"AT1G13260","BraA09g59760R","BraA06g08700R"
"AT1G13360","BraA08g29960R","BraA06g08630R"
"AT1G13380","BraA09g59240R","BraA06g08600R"
"AT1G13400","BraA08g29940R","BraA06g08580R"
"AT1G13450","BraA09g59870R","BraA06g09680R"
"AT1G13590","BraA09g59930R","BraA06g09630R"
"AT1G13600","BraA09g59940R","BraA06g09620R"
"AT1G13700","BraA09g59950R","BraA06g09890R"
"AT1G13710","BraA09g59970R","BraA06g09900R"
"AT1G13920","BraA08g29840R","BraA06g10000R"
"AT1G14150","BraA09g59340R","BraA06g10200R"
"AT1G14170","BraA09g59320R","BraA06g10210R"
"AT1G14180","BraA09g59310R","BraA06g10220R"
"AT1G14200","BraA09g59300R","BraA06g10230R"
"AT1G14260","BraA09g59200R","BraA06g10260R"
"AT1G14270","BraA08g29690R","BraA06g10270R"
"AT1G14280","BraA08g29680R","BraA06g10280R"
"AT1G14330","BraA09g59180R","BraA06g10320R"
"AT1G14340","BraA08g29650R","BraA06g10330R"
"AT1G14440","BraA09g59090R","BraA06g10410R"
"AT1G14510","BraA08g29570R","BraA06g10520R"
"AT1G14540","BraA09g59020R","BraA06g10550R"
"AT1G14560","BraA08g29560R","BraA06g10560R"
"AT1G14570","BraA08g29550R","BraA06g10570R"
"AT1G14600","BraA09g58980R","BraA06g10600R"
"AT1G14630","BraA09g58950R","BraA06g10630R"
"AT1G14650","BraA08g29500R","BraA06g10640R"
"AT1G14680","BraA09g58930R","BraA06g10660R"
"AT1G14730","BraA09g58870R","BraA06g10700R"
"AT1G14760","BraA09g58850R","BraA06g10740R"
"AT1G14770","BraA08g34750R","BraA06g10750R"
"AT1G14780","BraA09g58840R","BraA06g10760R"
"AT1G14840","BraA09g58800R","BraA06g10780R"
"AT1G14850","BraA09g58790R","BraA06g10790R"
"AT1G14860","BraA09g58780R","BraA06g10810R"
"AT1G14870","BraA09g58770R","BraA06g10820R"
"AT1G14890","BraA08g29420R","BraA06g10830R"
"AT1G14970","BraA09g58740R","BraA06g10880R"
"AT1G14990","BraA09g58710R","BraA06g10900R"
"AT1G15000","BraA09g58700R","BraA06g10910R"
"AT1G15010","BraA08g29390R","BraA06g10920R"
"AT1G15020","BraA09g58690R","BraA06g10930R"
"AT1G15100","BraA09g58640R","BraA06g10970R"
"AT1G15110","BraA09g58630R","BraA06g10990R"
"AT1G15130","BraA09g58610R","BraA06g11020R"
"AT1G15140","BraA08g29360R","BraA06g11030R"
"AT1G15210","BraA08g29330R","BraA06g11060R"
"AT1G15220","BraA08g29320R","BraA06g11090R"
"AT1G15240","BraA09g58580R","BraA06g11100R"
"AT1G15270","BraA09g58560R","BraA06g11120R"
"AT1G15370","BraA09g58530R","BraA06g11200R"
"AT1G15385","BraA09g58510R","BraA06g11220R"
"AT1G15390","BraA09g58490R","BraA06g11240R"
"AT1G15400","BraA09g58500R","BraA06g11250R"
"AT1G15440","BraA08g29210R","BraA06g11300R"
"AT1G15470","BraA09g58450R","BraA06g11320R"
"AT1G15500","BraA08g29200R","BraA06g11360R"
"AT1G15550","BraA09g58430R","BraA06g11400R"
"AT1G15670","BraA09g58390R","BraA06g11470R"
"AT1G15800","BraA09g58290R","BraA06g11610R"
"AT1G15910","BraA09g58230R","BraA06g11700R"
"AT1G16080","BraA09g58170R","BraA06g11830R"
"AT1G16320","BraA08g29040R","BraA06g11950R"
"AT1G16380","BraA08g29020R","BraA06g12040R"
"AT1G16500","BraA09g57980R","BraA06g12150R"
"AT1G16610","BraA09g57930R","BraA06g12240R"
"AT1G16790","BraA08g28900R","BraA06g12360R"
"AT1G16810","BraA09g57850R","BraA06g12370R"
"AT1G16840","BraA09g57810R","BraA06g12400R"
"AT1G16900","BraA08g28850R","BraA06g12450R"
"AT1G17147","BraA08g28760R","BraA06g12620R"
"AT1G17160","BraA09g57650R","BraA06g12640R"
"AT1G17190","BraA08g28730R","BraA06g12670R"
"AT1G17220","BraA08g28690R","BraA06g12700R"
"AT1G17285","BraA09g57600R","BraA06g12750R"
"AT1G17400","BraA08g28630R","BraA06g12840R"
"AT1G17440","BraA09g57500R","BraA06g12850R"
"AT1G17530","BraA08g28560R","BraA06g12910R"
"AT1G17540","BraA08g28550R","BraA06g12920R"
"AT1G17700","BraA09g55120R","BraA06g13040R"
"AT1G17720","BraA08g28470R","BraA06g13060R"
"AT1G17800","BraA07g29360R","BraA02g18790R"
"AT1G17880","BraA09g55070R","BraA06g13410R"
"AT1G17950","BraA09g55060R","BraA08g28330R"
"AT1G18100","BraA09g54980R","BraA06g13560R"
"AT1G18210","BraA08g28170R","BraA06g13620R"
"AT1G18300","BraA08g28130R","BraA06g13690R"
"AT1G18340","BraA08g28080R","BraA06g13740R"
"AT1G18390","BraA09g54870R","BraA06g13760R"
"AT1G18500","BraA09g54830R","BraA06g13860R"
"AT1G18580","BraA08g28000R","BraA06g13930R"
"AT1G18610","BraA08g27980R","BraA06g13970R"
"AT1G18620","BraA09g54780R","BraA08g27970R"
"AT1G18660","BraA09g54770R","BraA06g14030R"
"AT1G18720","BraA09g54720R","BraA08g27910R"
"AT1G18730","BraA09g54710R","BraA06g14080R"
"AT1G18740","BraA09g54700R","BraA06g14090R"
"AT1G18800","BraA08g27830R","BraA06g14180R"
"AT1G18835","BraA08g27800R","BraA06g14190R"
"AT1G18840","BraA08g27790R","BraA06g14220R"
"AT1G18960","BraA08g27740R","BraA06g14350R"
"AT1G18990","BraA09g54580R","BraA06g14370R"
"AT1G19020","BraA09g54570R","BraA06g14390R"
"AT1G19050","BraA08g27680R","BraA06g14400R"
"AT1G19140","BraA08g27650R","BraA06g14430R"
"AT1G19220","BraA08g27590R","BraA06g14510R"
"AT1G19230","BraA09g54480R","BraA06g14520R"
"AT1G19270","BraA08g27570R","BraA06g14560R"
"AT1G19300","BraA08g27550R","BraA06g14570R"
"AT1G19350","BraA09g54380R","BraA06g14640R"
"AT1G19580","BraA08g27450R","BraA06g14810R"
"AT1G19700","BraA08g27400R","BraA06g14870R"
"AT1G19715","BraA08g27390R","BraA06g14880R"
"AT1G19770","BraA08g27380R","BraA06g14920R"
"AT1G19835","BraA08g27370R","BraA06g15010R"
"AT1G19850","BraA07g15080R","BraA06g15050R"
"AT1G19870","BraA08g27310R","BraA06g15070R"
"AT1G19880","BraA07g15070R","BraA06g15080R"
"AT1G19940","BraA07g15020R","BraA06g15140R"
"AT1G19950","BraA08g27270R","BraA06g15160R"
"AT1G19980","BraA07g14990R","BraA08g27240R"
"AT1G20020","BraA07g14980R","BraA08g27230R"
"AT1G20050","BraA07g14970R","BraA06g15200R"
"AT1G20080","BraA07g14930R","BraA08g27210R"
"AT1G20130","BraA07g14900R","BraA06g15270R"
"AT1G20132","BraA08g27180R","BraA06g15280R"
"AT1G20180","BraA08g27170R","BraA06g15340R"
"AT1G20200","BraA07g14810R","BraA08g27140R"
"AT1G20260","BraA07g14800R","BraA08g27120R"
"AT1G20270","BraA08g27110R","BraA06g15380R"
"AT1G20310","BraA07g14790R","BraA06g15400R"
"AT1G20410","BraA07g14750R","BraA06g15530R"
"AT1G20460","BraA07g14720R","BraA06g15560R"
"AT1G20470","BraA07g14710R","BraA06g15580R"
"AT1G20480","BraA08g27060R","BraA06g15570R"
"AT1G20500","BraA07g14700R","BraA06g15590R"
"AT1G20580","BraA07g14670R","BraA08g27040R"
"AT1G20693","BraA08g26980R","BraA06g15750R"
"AT1G20780","BraA07g14580R","BraA08g26950R"
"AT1G20810","BraA08g26920R","BraA06g15830R"
"AT1G20870","BraA07g14540R","BraA06g15900R"
"AT1G20880","BraA08g26840R","BraA06g15910R"
"AT1G20890","BraA07g14520R","BraA06g15920R"
"AT1G20950","BraA08g26810R","BraA06g15990R"
"AT1G20990","BraA07g14450R","BraA06g16030R"
"AT1G21080","BraA08g26750R","BraA06g16120R"
"AT1G21090","BraA07g14400R","BraA06g16130R"
"AT1G21100","BraA07g14390R","BraA08g26740R"
"AT1G21200","BraA08g26700R","BraA06g16220R"
"AT1G21230","BraA08g26650R","BraA06g16240R"
"AT1G21270","BraA07g14360R","BraA06g16230R"
"AT1G21400","BraA08g26630R","BraA06g16460R"
"AT1G21480","BraA08g26590R","BraA06g16520R"
"AT1G21500","BraA07g14250R","BraA06g16560R"
"AT1G21590","BraA08g26530R","BraA06g16640R"
"AT1G21600","BraA08g26520R","BraA06g16650R"
"AT1G21660","BraA07g14180R","BraA06g16700R"
"AT1G21700","BraA08g26470R","BraA06g16740R"
"AT1G21720","BraA07g14170R","BraA08g26460R"
"AT1G21890","BraA07g14120R","BraA06g16980R"
"AT1G22020","BraA08g26290R","BraA09g39270R"
"AT1G22040","BraA07g14040R","BraA09g39250R"
"AT1G22065","BraA08g26270R","BraA09g39210R"
"AT1G22070","BraA08g26260R","BraA09g39200R"
"AT1G22130","BraA07g14010R","BraA08g26230R"
"AT1G22160","BraA07g14000R","BraA09g39140R"
"AT1G22180","BraA07g13980R","BraA09g39130R"
"AT1G22200","BraA07g13970R","BraA09g39110R"
"AT1G22230","BraA07g13940R","BraA09g39090R"
"AT1G22240","BraA07g13930R","BraA09g39080R"
"AT1G22250","BraA07g13920R","BraA09g39070R"
"AT1G22270","BraA07g13910R","BraA09g39060R"
"AT1G22330","BraA07g13860R","BraA09g39030R"
"AT1G22450","BraA08g26110R","BraA09g38990R"
"AT1G22500","BraA07g13790R","BraA09g38920R"
"AT1G22520","BraA07g13760R","BraA08g26090R"
"AT1G22590","BraA07g13740R","BraA09g38840R"
"AT1G22620","BraA07g13720R","BraA08g26070R"
"AT1G22640","BraA07g13710R","BraA09g38770R"
"AT1G22710","BraA07g13680R","BraA09g38710R"
"AT1G22730","BraA07g13650R","BraA09g38680R"
"AT1G22800","BraA07g13640R","BraA09g38660R"
"AT1G22810","BraA07g13630R","BraA09g38650R"
"AT1G22985","BraA07g13560R","BraA08g25980R"
"AT1G22990","BraA07g13550R","BraA09g38490R"
"AT1G23030","BraA07g13530R","BraA09g38460R"
"AT1G23080","BraA07g13500R","BraA08g25970R"
"AT1G23090","BraA07g13490R","BraA09g38420R"
"AT1G23150","BraA08g25930R","BraA09g38370R"
"AT1G23190","BraA08g25900R","BraA09g38350R"
"AT1G23205","BraA07g13400R","BraA09g38330R"
"AT1G23230","BraA07g13390R","BraA09g38290R"
"AT1G23330","BraA08g25860R","BraA09g38130R"
"AT1G23340","BraA08g25850R","BraA09g38120R"
"AT1G23420","BraA07g13330R","BraA09g38030R"
"AT1G23440","BraA07g13320R","BraA09g38020R"
"AT1G23460","BraA07g13310R","BraA08g25810R"
"AT1G23500","BraA07g13300R","BraA09g37990R"
"AT1G23540","BraA08g25780R","BraA09g37940R"
"AT1G23550","BraA07g13280R","BraA09g37930R"
"AT1G23560","BraA07g13260R","BraA08g25760R"
"AT1G23900","BraA07g13170R","BraA09g37670R"
"AT1G24120","BraA08g25620R","BraA09g37550R"
"AT1G24170","BraA07g13110R","BraA09g37510R"
"AT1G24180","BraA07g13100R","BraA09g37490R"
"AT1G24265","BraA08g24370R","BraA09g35600R"
"AT1G24270","BraA08g24380R","BraA09g35640R"
"AT1G24280","BraA07g11970R","BraA08g24390R"
"AT1G24330","BraA07g12010R","BraA08g24410R"
"AT1G24350","BraA08g24420R","BraA09g35650R"
"AT1G24400","BraA07g12050R","BraA09g35680R"
"AT1G24460","BraA08g24450R","BraA09g35720R"
"AT1G24470","BraA07g12070R","BraA09g35730R"
"AT1G24490","BraA07g12110R","BraA09g35750R"
"AT1G24560","BraA08g24500R","BraA09g35810R"
"AT1G24570","BraA07g12180R","BraA09g35820R"
"AT1G24590","BraA07g12240R","BraA08g24530R"
"AT1G24625","BraA07g12270R","BraA08g24580R"
"AT1G25240","BraA07g12330R","BraA09g35970R"
"AT1G25250","BraA08g24640R","BraA09g35980R"
"AT1G25275","BraA08g24670R","BraA09g36050R"
"AT1G25340","BraA07g12430R","BraA09g36120R"
"AT1G25350","BraA08g24770R","BraA09g36130R"
"AT1G25370","BraA07g12440R","BraA09g36140R"
"AT1G25422","BraA07g12510R","BraA09g36210R"
"AT1G25425","BraA07g12520R","BraA09g36250R"
"AT1G25480","BraA08g24800R","BraA09g36320R"
"AT1G25510","BraA07g12550R","BraA08g24840R"
"AT1G25530","BraA08g24860R","BraA09g36360R"
"AT1G25540","BraA08g24870R","BraA09g36370R"
"AT1G25560","BraA08g24880R","BraA09g36480R"
"AT1G25580","BraA07g12580R","BraA09g36510R"
"AT1G25682","BraA08g24920R","BraA09g36520R"
"AT1G26110","BraA07g12600R","BraA08g24950R"
"AT1G26140","BraA08g24970R","BraA09g36550R"
"AT1G26270","BraA08g25080R","BraA09g36610R"
"AT1G26370","BraA08g25110R","BraA09g36650R"
"AT1G26560","BraA08g25200R","BraA09g36770R"
"AT1G26620","BraA07g12800R","BraA09g36800R"
"AT1G26630","BraA08g25250R","BraA09g36830R"
"AT1G26690","BraA08g25260R","BraA09g36940R"
"AT1G26730","BraA08g25280R","BraA09g36960R"
"AT1G26740","BraA07g12840R","BraA09g36970R"
"AT1G26780","BraA08g25290R","BraA09g37020R"
"AT1G26790","BraA08g25300R","BraA09g37030R"
"AT1G26830","BraA08g25360R","BraA09g37060R"
"AT1G26920","BraA08g25420R","BraA09g37110R"
"AT1G26930","BraA08g25430R","BraA09g37120R"
"AT1G26940","BraA08g25440R","BraA09g37130R"
"AT1G27000","BraA08g25480R","BraA09g37200R"
"AT1G27020","BraA08g25490R","BraA09g37230R"
"AT1G27090","BraA08g25520R","BraA09g37270R"
"AT1G27110","BraA07g13040R","BraA08g25540R"
"AT1G27120","BraA07g13050R","BraA09g37300R"
"AT1G27130","BraA07g13060R","BraA09g37310R"
"AT1G27210","BraA08g25580R","BraA09g37430R"
"AT1G27250","BraA07g13090R","BraA09g37480R"
"AT1G27290","BraA08g24350R","BraA09g35580R"
"AT1G27340","BraA07g11890R","BraA09g35540R"
"AT1G27350","BraA07g11880R","BraA09g35530R"
"AT1G27360","BraA07g11870R","BraA09g35520R"
"AT1G27380","BraA08g24300R","BraA09g35500R"
"AT1G27400","BraA07g11820R","BraA09g35440R"
"AT1G27440","BraA07g11710R","BraA08g24250R"
"AT1G27470","BraA08g24220R","BraA09g35420R"
"AT1G27595","BraA08g24200R","BraA09g35390R"
"AT1G27600","BraA07g11670R","BraA08g24180R"
"AT1G27620","BraA08g24170R","BraA09g35360R"
"AT1G27630","BraA07g11660R","BraA08g24160R"
"AT1G27650","BraA07g11650R","BraA08g24150R"
"AT1G27700","BraA07g11630R","BraA08g24110R"
"AT1G27710","BraA07g11610R","BraA09g35300R"
"AT1G27730","BraA08g24100R","BraA09g35290R"
"AT1G27760","BraA07g11580R","BraA08g24070R"
"AT1G27850","BraA08g24050R","BraA09g35230R"
"AT1G27910","BraA08g24030R","BraA09g35220R"
"AT1G27930","BraA07g11550R","BraA09g35200R"
"AT1G27950","BraA07g11540R","BraA09g35180R"
"AT1G28060","BraA08g23970R","BraA09g35000R"
"AT1G28080","BraA08g23950R","BraA09g34980R"
"AT1G28120","BraA07g11470R","BraA08g23930R"
"AT1G28150","BraA07g11450R","BraA09g34900R"
"AT1G28190","BraA08g23890R","BraA09g34870R"
