CHR,START,END,BRA,ATG,GeneName
A04,11107896,11111055,BraA04g14730R,AT2G21070,FIO1
A04,11145297,11157613,BraA04g14800R,AT2G21150,XCT
A04,11352214,11353446,BraA04g15180R,AT2G21660,CCR2
A04,13711165,13714934,BraA04g18480R,AT2G25930,ELF3
A04,16103811,16111454,BraA04g22190R,AT2G31870,TEJ
A04,16487779,16489087,BraA04g22880R,AT2G32950,COP1
A04,18886877,18887221,BraA04g27180R,AT2G40080,ELF4
A04,21248320,21250541,BraA04g31570R,AT2G46790,PRR9
A05,624330,629724,BraA05g01930R,AT2G46830,CCA1
A05,636716,640902,BraA05g01960R,AT2G46790,PRR9
A05,885691,890547,BraA05g02360R,AT2G46340,SPA1
A05,2412992,2414768,BraA05g05270R,AT2G44680,CKB4
A05,3102890,3103231,BraA05g06590R,AT2G40080,ELF4
A05,5582104,5582886,BraA05g10910R,AT4G39260,CCR1
A05,6265825,6269635,BraA05g12020R,AT2G32950,COP1
A05,8332143,8334277,BraA05g15050R,AT5G37260,RVE2
A05,18361228,18367664,BraA05g23420R,AT3G22380,TIC
A05,21770470,21771437,BraA05g28490R,AT3G17609,HYH
A05,22031365,22035931,BraA05g28840R,AT2G18790,PHY_B
A05,24576048,24581301,BraA05g33680R,AT3G11540,SPY
A05,25308449,25311845,BraA05g35220R,AT3G09600,RVE8
A05,26092202,26095122,BraA05g36680R,AT3G07650,COL9
A06,3589661,3592409,BraA06g06560R,AT1G09340,CRB
A06,3656216,3659603,BraA06g06730R,AT1G09530,PIF3
A06,3675617,3680958,BraA06g06770R,AT1G09570,PHY_A
A06,4019547,4021199,BraA06g07560R,AT1G10470,ARR4
A06,7169961,7171825,BraA06g13730R,AT1G18330,RVE7
A06,10978771,10980937,BraA06g19080R,AT3G47500,CDF3
A06,11345884,11348494,BraA06g19700R,AT3G46640,LUX
A06,19996774,19999754,BraA06g29990R,AT5G24470,PRR5
A06,26520584,26521769,BraA06g41410R,AT5G43650,BHLH92
A07,1290936,1293619,BraA07g02600R,AT2G18915,LKP2
A07,1294810,1298250,BraA07g02610R,AT2G18915,LKP2
A07,1304108,1306656,BraA07g02620R,AT2G18915,LKP2
A07,3307299,3308324,BraA07g04820R,AT2G21660,CCR1
A07,17423934,17425637,BraA07g22570R,AT3G60250,CKB3
A07,21397062,21398747,BraA07g29950R,AT1G65480,FT
A07,21401578,21403080,BraA07g29960R,AT1G65480,FT
A07,22676519,22679457,BraA07g32260R,AT1G68830,STN7
A07,25852308,25854352,BraA07g38450R,AT4G20370,TSF
A08,14220364,14225157,BraA08g17770R,AT4G31120,PRMT5
A08,16638796,16639585,BraA08g21970R,AT4G39260,CCR1
A08,21195158,21196633,BraA08g31460R,AT1G10470,ARR4
A08,22329735,22333118,BraA08g34230R,AT1G04400,CRY2
A09,427482,429647,BraA09g01570R,AT4G01280,RVE5
A09,1220522,1221706,BraA09g02570R,AT4G02440,EID1
A09,3512451,3515594,BraA09g06770R,AT5G24470,PRR5
A09,3917329,3920399,BraA09g07570R,AT5G61380,PRR1
A09,10447238,10448610,BraA09g17620R,AT1G59940,ARR3
A09,12393153,12401017,BraA09g20090R,AT5G43650,BHLH92
A09,16292320,16300470,BraA09g25160R,AT4G04920,SFR6
A09,19494265,19497217,BraA09g28570R,AT4G08920,CRY1
A09,28296432,28302016,BraA09g38670R,AT1G22770,GI
A09,32511726,32513053,BraA09g45590R,AT5G02840,RVE4
A09,33794564,33796205,BraA09g48090R,AT3G60250,CKB3
A09,35131748,35135504,BraA09g50820R,AT2G25930,ELF3
A09,36524493,36525560,BraA09g53180R,AT2G21660,CCR2
A09,36723208,36725895,BraA09g53550R,AT2G21150,XCT
A09,36805059,36806775,BraA09g53730R,AT2G20860,LIP1
A09,38330535,38332862,BraA09g56570R,AT3G09600,RVE8
A09,38826368,38829094,BraA09g57340R,AT3G07650,COL9
A09,40898195,40899894,BraA09g61490R,AT1G10470,ARR4
A09,41106059,41113376,BraA09g61890R,AT1G09570,PHY_A
A09,41131409,41134486,BraA09g61930R,AT1G09530,PIF3
A10,266124,268091,BraA10g01440R,AT1G01520,RVE3
A10,443535,447556,BraA10g01800R,AT1G01060,LHY
A10,1470811,1476965,BraA10g03560R,AT1G04400,CRY2
A10,7847212,7849734,BraA10g10230R,AT5G52660,RVE6
A10,11912439,11912963,BraA10g16460R,AT5G59560,SRR1
A10,12205938,12209158,BraA10g16900R,AT5G60100,PRR3
A10,14556766,14559019,BraA10g21270R,AT5G17300,RVE1
A10,16800275,16805315,BraA10g26270R,AT5G10140,FLC
A10,17159597,17171786,BraA10g27160R,AT5G08330,CHE
A10,18989341,18993295,BraA10g31210R,AT5G02840,RVE4
A10,18999711,19003500,BraA10g31240R,AT5G02810,PRR7
,18018229,18022623,NEW,,PHY3_P
