CHR,STAR,END,STRAND,BRA,Ath_ortho,Copies,BLK,B.oleracea_ortho,NonSynt_Pattern
A01,16339122,16339316,+,BraA01g22200R,AT1G56380,2,NA,Bo3g134070,x
A01,16477624,16478472,-,BraA01g22370R,AT4G19700,3,F,Bo1g100010,x
A01,16725098,16725913,+,BraA01g22630R,AT2G31670,1,F,Bo1g101440,x
A01,16736951,16737565,-,BraA01g22640R,AT1G45688,5,F,NA,x
A01,16742515,16743321,+,BraA01g22660R,AT2G28010,4,F,NA,x
A01,16758082,16761444,-,BraA01g22690R,AT5G64960,2,F,Bo1g101490,x
A01,16761792,16762577,+,BraA01g22700R,AT2G13295,1,F,Bo1g101500,x
A01,16888586,16892539,-,BraA01g22820R,AT3G42960,1,F,Bo1g101620,x
A01,17035043,17036157,NS,BraA01g23000R,AT3G01310,6,F,Bo3g080140,x
A01,17098634,17100124,+,BraA01g23040R,AT5G61320,1,F,Bo1g101970,x
A01,17117217,17117664,+,BraA01g23080R,AT3G06570,3,F,Bo1g002630,x
A01,17117676,17124438,+,BraA01g23090R,AT3G06570,3,F,Bo1g102000,x
A01,17120641,17121125,+,BraA01g23100R,AT3G06570,3,F,Bo1g002630,x
A01,17132792,17134321,+,BraA01g23120R,AT1G26670,4,F,NA,x
A01,17172005,17174992,-,BraA01g23190R,AT1G65660,4,F,Bo1g102170,x
A01,17271710,17274203,-,BraA01g23280R,AT5G27830,2,F,Bo1g150520,x
A01,17468755,17470136,+,BraA01g23520R,AT1G50040,1,F,Bo1g103510,x
A01,17529302,17531286,+,BraA01g23610R,AT1G23280,3,F,Bo1g103560,x
A01,17592695,17597672,NS,BraA01g23710R,AT3G14950,3,F,Bo1g103680,x
A01,17763149,17764287,+,BraA01g23890R,AT2G19630,2,F,Bo4g178010,x
A01,17934296,17935161,-,BraA01g24110R,AT5G42300,1,F,Bo1g105180,x
A01,18284735,18286368,+,BraA01g24490R,AT4G12040,3,F,Bo2g076800,x
A01,18296240,18296626,+,BraA01g24500R,AT5G56170,3,F,NA,x
A01,18343885,18344300,NS,BraA01g24550R,AT3G01310,6,F,NA,x
A01,18398940,18404259,NS,BraA01g24620R,AT3G23250,4,F,Bo1g105930,x
A01,18431480,18448064,+,BraA01g24650R,AT3G18750,3,F,Bo1g107010,x
A01,18528139,18530913,-,BraA01g24720R,AT1G51690,4,F,Bo6g042460,x
A01,18606488,18607707,-,BraA01g24820R,AT1G51650,1,F,Bo1g108210,x
A01,18638182,18641287,-,BraA01g24890R,AT1G51540,5,F,Bo1g108250,x
A01,18781246,18783988,+,BraA01g25090R,AT2G16600,5,F,Bo4g173470,x
A01,18809636,18813145,+,BraA01g25130R,AT5G51600,3,F,Bo9g102380,x
A01,18820083,18820661,+,BraA01g25140R,AT3G22920,2,F,Bo4g173470,x
A01,19295472,19295873,+,BraA01g25930R,AT3G45030,1,F,Bo3g023640,x
A01,19384347,19386982,-,BraA01g26070R,NS,2,F,Bo1g114600,x
A01,19392310,19392501,-,BraA01g26080R,AT2G14900,4,F,Bo1g114620,x
A01,19471927,19472476,+,BraA01g26190R,AT4G37660,3,F,Bo3g153350,x
A01,19574660,19575703,-,BraA01g26230R,AT3G63220,4,F,NA,x
A01,19723945,19726974,-,BraA01g26380R,AT2G40500,3,F,Bo4g064710,x
A01,19777677,19778593,-,BraA01g26430R,AT3G17300,2,F,Bo1g121540,x
A01,19833256,19842721,NS,BraA01g26510R,AT3G19440,2,F,NA,x
A01,20033907,20037635,+,BraA01g26790R,AT1G63870,2,F,Bo9g034110,x
A01,20079277,20080879,+,BraA01g26860R,AT1G14315,2,F,Bo1g118830,x
A01,20144141,20145985,-,BraA01g26970R,AT1G13090,1,F,Bo1g055450,x
A01,20150001,20151346,-,BraA01g26980R,AT1G14315,2,F,Bo1g118830,x
A01,20162685,20163072,-,BraA01g27000R,AT5G45875,2,F,NA,x
A01,20176407,20178399,-,BraA01g27030R,AT3G45680,2,F,Bo2g057630,x
A01,20231452,20233149,+,BraA01g27150R,AT5G25475,2,F,Bo1g119070,x
A01,20398263,20399089,-,BraA01g27410R,AT2G46580,2,F,Bo4g197190,x
A01,20433367,20439172,+,BraA01g27440R,AT1G52290,4,F,Bo3g181080,x
A01,20471071,20476143,+,BraA01g27450R,AT1G52290,4,F,Bo00763s150,x
A01,20508403,20513510,+,BraA01g27460R,AT1G52290,4,F,Bo3g181080,x
A01,20530532,20532913,NS,BraA01g27490R,AT3G05790,2,F,NA,x
A01,20552535,20553396,-,BraA01g27530R,AT2G47060,3,F,Bo8g016320,x
A01,20574246,20576801,+,BraA01g27580R,AT4G39830,1,F,Bo7g118970,x
A01,20784784,20785870,+,BraA01g27930R,AT2G18780,2,F,Bo1g124800,x
A01,20813911,20816850,+,BraA01g28010R,AT2G33070,4,F,Bo30172s010,x
A01,21072093,21072968,-,BraA01g28330R,NS,5,F,Bo3g034260,x
A01,21078120,21079285,-,BraA01g28340R,AT1G52030,5,F,Bo3g034260,x
A01,21223277,21224716,-,BraA01g28560R,AT2G18780,2,F,Bo1g124800,x
A01,21286485,21286961,+,BraA01g28640R,AT4G14540,3,F,Bo1g124900,x
A01,21407302,21408319,+,BraA01g28920R,AT1G52740,1,F,Bo1g127320,x
A01,21414438,21416236,+,BraA01g28960R,AT1G28030,4,F,Bo1g127350,x
A01,21420073,21422238,+,BraA01g28970R,AT1G52820,2,F,Bo1g128350,x
A01,21532408,21537972,+,BraA01g29160R,NS,2,F,Bo1g128570,x
A01,21549926,21553278,-,BraA01g29190R,AT1G20320,1,F,Bo1g128670,x
A01,21558625,21559102,-,BraA01g29200R,AT1G53130,2,F,NA,x
A01,21650373,21652693,+,BraA01g29390R,AT4G16700,3,F,Bo1g053350,x
A01,22065620,22068507,+,BraA01g30080R,AT3G29410,5,F,Bo5g129140,x
A01,22079402,22081541,-,BraA01g30100R,AT5G27260,4,F,Bo7g055830,x
A01,22126533,22128479,-,BraA01g30160R,AT1G28030,4,F,Bo1g131110,x
A01,22399441,22400377,-,BraA01g30610R,AT3G49510,2,F,Bo1g134840,x
A01,22545156,22553005,-,BraA01g30810R,AT1G11680,4,F,Bo01001s020,x
A01,22547471,22549404,-,BraA01g30820R,AT1G11680,4,F,Bo01001s020,x
A01,23099287,23105234,-,BraA01g31720R,AT3G30247,1,F,Bo1g139280,x
A01,23129637,23132061,-,BraA01g31780R,AT2G21655,3,F,Bo1g139390,x
A01,23133635,23134129,-,BraA01g31790R,AT2G21655,3,F,Bo1g139410,x
A01,23137753,23138244,-,BraA01g31810R,AT2G21655,3,F,Bo1g139430,x
A01,23189963,23190462,-,BraA01g31920R,AT2G21727,1,F,Bo1g139410,x
A01,23248586,23249741,-,BraA01g32040R,AT1G47470,2,F,Bo1g139690,x
A01,23515876,23516651,+,BraA01g32410R,AT3G30165,2,F,NA,x
A01,23522975,23523457,+,BraA01g32420R,AT3G22080,2,F,Bo1g141090,x
A01,23536418,23540671,-,BraA01g32460R,AT3G55200,1,F,Bo1g141130,x
A01,23715477,23716332,-,BraA01g32610R,AT1G66100,2,F,Bo3g064000,x
A01,23824587,23826793,+,BraA01g32890R,AT5G47300,3,F,Bo1g114670,x
A01,23866338,23871125,-,BraA01g32960R,NS,3,F,Bo1g143820,x
A01,23954643,23961959,+,BraA01g33150R,AT4G23680,3,F,Bo1g037060,x
A01,24153578,24154808,+,BraA01g33460R,AT1G48140,1,F,Bo1g147500,x
A01,24306905,24308310,NS,BraA01g33680R,AT3G14930,3,F,Bo9g174500,x
A01,24533780,24534824,-,BraA01g33870R,NS,1,F,Bo1g147790,x
A01,24609984,24611457,+,BraA01g33990R,AT3G10790,1,F,Bo1g151910,x
A01,24779133,24782767,+,BraA01g34220R,NS,2,F,Bo1g150180,x
A01,25036869,25040651,-,BraA01g34520R,AT4G38130,1,F,Bo1g151980,x
A01,25041491,25043560,+,BraA01g34530R,AT5G59930,2,F,Bo1g151990,x
A01,25091203,25094598,+,BraA01g34630R,NS,3,F,Bo1g152110,x
A01,25103802,25105607,+,BraA01g34660R,AT2G43220,1,F,Bo1g152130,x
A01,25250130,25254769,+,BraA01g34860R,AT1G65850,2,F,Bo5g136450,x
A01,25295853,25302941,-,BraA01g34980R,AT5G38340,3,F,Bo5g136450,x
A01,25326364,25326920,+,BraA01g35050R,AT1G26796,1,F,Bo1g153550,x
A01,25475300,25477080,+,BraA01g35210R,AT5G17600,2,F,Bo1g154710,x
A01,25792673,25796930,-,BraA01g35550R,AT5G16650,3,F,Bo1g155080,x
A01,26011114,26012658,+,BraA01g36060R,AT3G44290,1,F,Bo1g063720,x
A01,26400307,26402195,-,BraA01g36420R,NS,4,F,Bo1g158770,x
A02,21863,24942,+,BraA02g01040R,AT2G30290,1,R,Bo8g082290,x
A02,137105,141402,-,BraA02g01180R,AT2G04660,2,R,Bo2g001230,x
A02,722954,724192,-,BraA02g02440R,AT1G66240,3,R,Bo3g002930,x
A02,776443,779231,+,BraA02g02590R,AT3G44970,1,R,Bo3g003230,x
A02,992988,993602,-,BraA02g03080R,AT3G13445,3,R,Bo2g007300,x
A02,1313869,1320116,+,BraA02g03860R,AT3G15880,3,R,Bo2g009150,x
A02,1492642,1495216,-,BraA02g04230R,AT5G05030,2,R,Bo2g009570,x
A02,1533108,1534151,+,BraA02g04340R,AT5G07460,2,R,Bo9g175500,x
A02,1610982,1612036,-,BraA02g04520R,AT5G44050,6,R,Bo3g005570,x
A02,1680244,1681620,+,BraA02g04680R,AT3G28600,4,R,Bo2g010020,x
A02,1806207,1807904,-,BraA02g04910R,AT5G04395,3,R,Bo2g010310,x
A02,1808593,1809924,-,BraA02g04920R,AT5G04395,3,R,Bo2g010310,x
A02,1912766,1914421,-,BraA02g05160R,AT2G31510,3,R,Bo2g010610,x
A02,1949342,1956648,+,BraA02g05270R,AT4G10510,1,R,Bo2g010720,x
A02,2476436,2483395,-,BraA02g06420R,AT4G17700,1,R,Bo2g011980,x
A02,2506396,2506928,NS,BraA02g06500R,AT5G02770,3,R,NA,x
A02,2655899,2656429,-,BraA02g06840R,AT1G60720,3,R,NA,x
A02,2775935,2777171,+,BraA02g07060R,AT5G39280,3,R,Bo2g012620,x
A02,2869082,2871074,-,BraA02g07250R,AT5G01150,1,R,Bo2g012830,x
A02,3034682,3038049,+,BraA02g07660R,AT3G12230,2,R,Bo2g013220,x
A02,3061026,3061774,+,BraA02g07710R,AT1G12320,4,R,Bo8g108250,x
A02,3076630,3079683,+,BraA02g07770R,AT2G20800,2,R,Bo2g013330,x
A02,3126811,3129001,-,BraA02g07890R,AT3G44300,4,R,Bo2g013450,x
A02,3151661,3153850,+,BraA02g07950R,AT1G44110,2,R,Bo2g013520,x
A02,3337750,3338931,+,BraA02g08330R,AT4G22180,2,R,Bo2g014020,x
A02,3783811,3785005,-,BraA02g09140R,AT5G03470,6,R,Bo2g004100,x
A02,3873384,3879228,-,BraA02g09350R,AT3G03260,3,R,Bo2g018400,x
A02,4016210,4017788,-,BraA02g09680R,AT3G24130,3,R,Bo2g020790,x
A02,4173794,4175957,+,BraA02g10030R,AT4G18760,4,R,Bo1g019900,x
A02,4209716,4210216,+,BraA02g10130R,AT2G37190,3,R,Bo3g031560,x
A02,4244745,4245916,+,BraA02g10200R,AT5G55440,3,R,Bo2g030290,x
A02,4412147,4415921,-,BraA02g10460R,AT4G33990,1,R,Bo2g023710,x
A02,4418582,4419790,+,BraA02g10470R,AT4G04985,1,R,NA,x
A02,4429030,4437043,-,BraA02g10510R,AT5G37920,1,R,Bo4g136430,x
A02,4488185,4488991,+,BraA02g10670R,AT4G18760,4,R,Bo1g019900,x
A02,4857932,4859262,-,BraA02g11260R,AT1G65360,1,W,Bo2g024870,x
A02,5103245,5103800,+,BraA02g11740R,AT1G35850,1,W,Bo2g025430,x
A02,5132133,5143644,-,BraA02g11820R,AT3G46420,1,W,Bo5g008290,x
A02,5301482,5302071,+,BraA02g12080R,AT1G35890,3,W,Bo2g027140,x
A02,5302114,5304808,+,BraA02g12090R,AT1G35890,3,W,Bo2g027140,x
A02,5361818,5362561,-,BraA02g12220R,AT1G35890,3,W,Bo2g027140,x
A02,5509166,5509600,-,BraA02g12480R,AT5G07090,3,W,Bo2g028570,x
A02,5876160,5877332,-,BraA02g13180R,AT5G55440,3,W,Bo5g062480,x
A02,5879248,5880432,+,BraA02g13190R,AT5G55440,3,W,Bo2g030290,x
A02,5912758,5913039,-,BraA02g13250R,AT3G18850,4,W,NA,x
A02,6016711,6019515,-,BraA02g13410R,AT3G45470,2,W,Bo2g032500,x
A02,6338105,6339535,-,BraA02g13790R,AT2G40780,2,W,Bo4g190430,x
A02,6641633,6642877,+,BraA02g14280R,AT5G66330,2,W,Bo2g038890,x
A02,6691960,6694162,+,BraA02g14390R,AT3G15820,4,W,Bo2g040070,x
A02,6796980,6800481,-,BraA02g14640R,AT3G02020,1,W,Bo2g041340,x
A02,7060534,7068737,-,BraA02g14910R,AT1G20960,2,W,Bo7g061230,x
A02,7079859,7086574,+,BraA02g14930R,AT2G12480,3,W,Bo3g172210,x
A02,7282147,7283126,+,BraA02g15220R,AT4G27540,2,W,Bo2g043310,x
A02,7414335,7414714,-,BraA02g15420R,AT2G21130,2,W,Bo7g119650,x
A02,7414730,7416265,-,BraA02g15430R,AT2G21130,2,W,Bo7g119650,x
A02,7555367,7557997,-,BraA02g15640R,AT5G05450,3,W,Bo2g006970,x
A02,7628162,7629352,+,BraA02g15710R,AT3G18720,3,W,Bo2g046130,x
A02,7668822,7672825,-,BraA02g15780R,AT4G08620,1,W,Bo2g046210,x
A02,7886222,7886533,+,BraA02g16060R,AT2G33130,2,W,Bo2g047630,x
A02,7903622,7903933,+,BraA02g16080R,AT2G33130,2,W,Bo2g047630,x
A02,8226630,8228859,NS,BraA02g16510R,AT5G47430,3,W,NA,x
A02,8260642,8262891,-,BraA02g16550R,AT5G62300,4,W,Bo2g049390,x
A02,8418143,8422591,+,BraA02g16760R,AT3G45140,6,W,Bo2g050630,x
A02,8497082,8504304,+,BraA02g16900R,AT1G74360,5,W,Bo2g081020,x
A02,8520622,8524159,-,BraA02g16950R,AT3G56150,3,W,Bo8g090530,x
A02,8557536,8560563,+,BraA02g17030R,AT4G28090,1,W,Bo2g050840,x
A02,8660755,8661864,-,BraA02g17240R,AT3G22650,2,E,Bo2g051110,x
A02,8663167,8664890,+,BraA02g17250R,AT2G44870,1,E,NA,x
A02,8850903,8856187,-,BraA02g17510R,AT5G49630,1,E,Bo1g089120,x
A02,8907102,8909863,-,BraA02g17610R,AT1G50090,3,E,Bo3g178300,x
A02,8909912,8910462,-,BraA02g17620R,AT1G50090,3,E,Bo3g178300,x
A02,8978048,8981484,-,BraA02g17720R,AT1G07440,3,E,Bo2g052750,x
A02,9053938,9055088,-,BraA02g17800R,AT2G01918,1,E,Bo2g052810,x
A02,9060373,9062352,+,BraA02g17820R,AT1G03670,1,E,Bo2g052840,x
A02,9170254,9172011,+,BraA02g17950R,AT3G44860,1,E,Bo2g053880,x
A02,9198065,9199611,-,BraA02g18000R,AT1G79410,4,E,Bo2g053940,x
A02,9376691,9377992,-,BraA02g18190R,AT5G38430,4,E,Bo2g055360,x
A02,9380076,9381171,-,BraA02g18200R,AT5G38430,4,E,Bo2g055360,x
A02,9668940,9670726,-,BraA02g18520R,AT1G65030,2,E,Bo2g055930,x
A02,9704327,9707329,-,BraA02g18580R,AT1G60787,1,E,Bo2g056020,x
A02,9741098,9743077,-,BraA02g18650R,AT3G59740,1,E,Bo4g107610,x
A02,9781322,9783715,+,BraA02g18690R,AT1G43580,1,E,Bo2g056140,x
A02,9846119,9846973,-,BraA02g18790R,AT1G17800,2,E,Bo2g056330,x
A02,9874623,9875885,+,BraA02g18850R,AT5G03000,1,E,Bo2g056410,x
A02,9896419,9897855,-,BraA02g18900R,AT1G10745,1,E,NA,x
A02,9942265,9944742,+,BraA02g18960R,AT2G25710,2,E,Bo2g057620,x
A02,9945311,9947574,+,BraA02g18970R,AT3G45700,1,E,Bo2g057630,x
A02,9963341,9964928,+,BraA02g19000R,AT2G46320,2,E,NA,x
A02,9966372,9966824,-,BraA02g19010R,AT5G05020,5,E,Bo2g057670,x
A02,10075208,10079174,+,BraA02g19170R,AT4G08450,2,E,Bo2g057850,x
A02,10271985,10272977,+,BraA02g19340R,AT5G27260,4,E,Bo7g055830,x
A02,10285348,10286340,-,BraA02g19350R,AT2G29880,3,E,Bo7g055830,x
A02,10499314,10500992,-,BraA02g19640R,AT1G09500,3,E,Bo2g061390,x
A02,10551425,10552040,-,BraA02g19720R,AT2G29430,1,E,Bo2g062530,x
A02,10606920,10608267,-,BraA02g19780R,AT5G50030,3,E,Bo2g062620,x
A02,10711429,10716168,+,BraA02g19880R,AT1G55750,1,E,Bo2g062910,x
A02,10747250,10748454,-,BraA02g19950R,AT1G64850,1,E,Bo2g063020,x
A02,10762774,10763749,+,BraA02g19990R,AT3G14250,3,E,Bo5g130450,x
A02,10800155,10803602,-,BraA02g20060R,AT4G08560,3,E,Bo5g052260,x
A02,10814078,10815467,+,BraA02g20100R,AT1G26670,4,E,Bo2g063080,x
A02,10863538,10865708,+,BraA02g20150R,AT3G27740,2,E,Bo2g064190,x
A02,10928828,10929311,-,BraA02g20300R,AT2G15710,3,E,Bo2g064270,x
A02,10929387,10929647,-,BraA02g20310R,AT2G15710,3,E,Bo2g064270,x
A02,10996292,10997716,+,BraA02g20380R,AT1G66580,3,E,Bo2g064440,x
A02,11037299,11037824,-,BraA02g20420R,AT3G23605,3,E,Bo3g081830,x
A02,11342226,11343608,-,BraA02g20770R,AT3G29670,3,E,Bo2g068220,x
A02,11452077,11454049,+,BraA02g20920R,AT1G23280,3,E,Bo2g068400,x
A02,11857414,11859900,-,BraA02g21560R,AT2G46960,2,E,Bo6g092990,x
A02,11948435,11949458,+,BraA02g21620R,AT5G12060,3,E,Bo3g007460,x
A02,12026640,12027387,+,BraA02g21710R,AT1G66235,5,E,Bo5g093340,x
A02,12332369,12332919,-,BraA02g22290R,AT2G43110,4,E,NA,x
A02,12412118,12412336,-,BraA02g22430R,AT2G26865,4,E,NA,x
A02,12413946,12414179,-,BraA02g22440R,AT2G26865,4,E,NA,x
A02,12701565,12707855,+,BraA02g22870R,AT1G18260,3,E,Bo2g080640,x
A02,12813652,12814761,+,BraA02g23030R,AT2G40920,2,E,Bo2g080840,x
A02,13223084,13223575,-,BraA02g23660R,AT5G42500,2,E,Bo5g039010,x
A02,13343675,13348122,+,BraA02g23800R,AT1G45000,1,E,Bo2g083870,x
A02,13359829,13361197,+,BraA02g23830R,AT4G32170,2,E,Bo2g083910,x
A02,13567657,13568391,+,BraA02g24160R,AT5G44420,1,E,NA,x
A02,13622259,13622477,+,BraA02g24280R,AT5G11970,3,E,Bo9g169720,x
A02,13842921,13843845,-,BraA02g24630R,ATCG01250,1,E,NA,x
A02,14037823,14040473,-,BraA02g24820R,AT3G25490,2,E,Bo2g112880,x
A02,14365707,14368233,-,BraA02g25260R,AT5G26900,1,E,Bo2g092820,x
A02,14369564,14370489,-,BraA02g25270R,AT5G53360,1,E,Bo2g092840,x
A02,14808614,14808907,+,BraA02g25810R,AT2G14846,2,E,Bo8g010770,x
A02,14837159,14838196,-,BraA02g25870R,AT3G57770,4,E,Bo2g094680,x
A02,15099181,15100902,-,BraA02g26210R,AT4G11650,3,E,Bo2g108690,x
A02,15112611,15117885,+,BraA02g26220R,AT1G33110,3,E,Bo2g009850,x
A02,15347512,15349133,-,BraA02g26630R,AT1G15860,3,E,Bo2g095730,x
A02,15400493,15401799,+,BraA02g26740R,AT1G66560,1,E,NA,x
A02,15422629,15423558,+,BraA02g26760R,AT1G66550,2,E,Bo2g095820,x
A02,15459157,15462508,-,BraA02g26820R,AT1G31180,1,E,Bo2g095880,x
A02,15489344,15491381,+,BraA02g26860R,AT5G51280,5,E,Bo2g095950,x
A02,15492540,15492969,+,BraA02g26870R,AT2G26865,4,E,NA,x
A02,15718268,15722371,-,BraA02g27300R,AT5G63930,1,E,Bo2g097400,x
A02,15726780,15742797,+,BraA02g27310R,AT1G64790,2,E,Bo2g097410,x
A02,15751490,15757001,NS,BraA02g27320R,AT1G64790,2,E,NA,x
A02,15765611,15768453,+,BraA02g27330R,AT1G64970,2,E,Bo2g097470,x
A02,15776205,15781828,-,BraA02g27340R,AT1G55500,2,E,Bo2g097510,x
A02,15778743,15780998,-,BraA02g27350R,AT1G55500,2,E,Bo2g097510,x
A02,15782466,15783989,-,BraA02g27360R,AT1G64900,1,E,Bo2g097520,x
A02,15795665,15798725,-,BraA02g27370R,AT1G64880,1,E,Bo2g097540,x
A02,15799123,15802151,-,BraA02g27380R,AT1G64860,1,E,Bo2g097550,x
A02,16001052,16005832,+,BraA02g27580R,AT5G23010,5,O,Bo2g102060,x
A02,16008216,16008718,+,BraA02g27590R,AT5G23020,1,O,Bo2g102060,x
A02,16141283,16143314,NS,BraA02g27770R,AT4G05440,2,O,NA,x
A02,16617226,16619182,-,BraA02g28290R,AT5G24220,1,O,Bo2g160630,x
