Accession,Gene Length (bp)
BraA01g03960R,379
BraA01g03970R,3965
BraA01g03980R,2668
BraA01g03990R,381
BraA01g04000R,1707
BraA01g04010R,470
BraA01g04020R,621
BraA01g04030R,346
BraA01g04040R,961
BraA01g04050R,2188
BraA01g04060R,3436
BraA01g04070R,1617
BraA01g04080R,2767
BraA01g04090R,956
BraA01g04100R,6948
BraA01g04110R,1941
BraA01g04120R,1499
BraA01g04130R,3633
BraA01g04140R,4513
BraA01g04150R,1373
BraA01g04160R,280
BraA01g04170R,4214
BraA01g04180R,2484
BraA01g04190R,1176
BraA01g04200R,4410
BraA01g04210R,2176
BraA01g04220R,534
BraA01g04230R,2864
BraA01g04240R,1827
BraA01g04250R,3609
BraA01g04260R,1505
BraA01g04270R,5429
BraA01g04280R,2141
BraA01g04290R,4191
BraA01g04300R,387
BraA01g04310R,3206
BraA01g04320R,4748
BraA01g04330R,6175
BraA01g04340R,2195
BraA01g04350R,2959
BraA01g04360R,1962
BraA01g04370R,7069
BraA01g04380R,3281
BraA01g04390R,4475
BraA01g04400R,321
BraA01g04410R,798
BraA01g04420R,2973
BraA01g04430R,6439
BraA01g04440R,2310
BraA01g04450R,567
BraA01g04460R,616
BraA01g04470R,2194
BraA01g04480R,1724
BraA01g04490R,9376
BraA01g04500R,1541
BraA01g04510R,1608
BraA01g04520R,2599
BraA01g04530R,10629
BraA01g04540R,1014
BraA01g04550R,2264
BraA01g04560R,1213
BraA01g04570R,1653
BraA01g04580R,7396
BraA01g04590R,3551
BraA01g04600R,4218
BraA01g04610R,1377
BraA01g04620R,2431
BraA01g04630R,1317
BraA01g04640R,1226
BraA01g04650R,741
BraA01g04660R,2120
BraA01g04670R,3197
BraA01g04680R,18859
BraA01g04690R,249
BraA01g04700R,619
BraA01g04710R,5948
BraA01g04720R,4907
BraA01g04730R,1980
BraA01g04740R,1187
BraA01g04750R,1939
BraA01g04760R,1188
BraA01g04770R,726
BraA01g04780R,5162
BraA01g04790R,11475
BraA01g04800R,1716
BraA01g04810R,2819
BraA01g04820R,4523
BraA01g04830R,1515
BraA01g04840R,1964
BraA01g04850R,3536
BraA01g04860R,315
BraA01g04870R,1710
BraA01g04880R,402
BraA01g04890R,1899
BraA01g04900R,1155
BraA01g04910R,3917
BraA01g04920R,3752
BraA01g04930R,1170
BraA01g04940R,1520
BraA01g04950R,1809
BraA01g04960R,1122
BraA01g04970R,552
BraA01g04980R,12378
BraA01g04990R,6436
BraA01g05000R,1583
BraA01g05010R,1215
BraA01g05020R,1211
BraA01g05030R,2183
BraA01g05040R,2844
BraA01g05050R,4274
BraA01g05060R,738
BraA01g05070R,1361
BraA01g05080R,3437
BraA01g05090R,5897
BraA01g05100R,7051
BraA01g05110R,2891
BraA01g05120R,1336
BraA01g05130R,1206
BraA01g05140R,4708
BraA01g05150R,6772
BraA01g05160R,2230
BraA01g05170R,1125
BraA01g05180R,3451
BraA01g05190R,4592
BraA01g05200R,4674
BraA01g05210R,2212
BraA01g05220R,2187
BraA01g05230R,984
BraA01g05240R,6549
BraA01g05250R,2378
BraA01g05260R,426
BraA01g05270R,274
BraA01g05280R,1533
BraA01g05290R,1687
BraA01g05300R,1194
BraA01g05310R,5607
BraA01g05320R,3727
BraA01g05330R,3289
BraA01g05340R,2729
BraA01g05350R,1214
BraA01g05360R,15272
BraA01g05370R,559
BraA01g05380R,2431
BraA01g05390R,6954
BraA01g05400R,1737
BraA01g05410R,10056
BraA01g05420R,1395
BraA01g05430R,4907
BraA01g05440R,1806
BraA01g05450R,685
BraA01g05460R,282
BraA01g05470R,12110
BraA01g05480R,945
BraA01g05490R,3610
BraA01g05500R,354
BraA01g05510R,3535
BraA01g05520R,716
BraA01g05530R,3730
BraA01g05540R,2318
BraA01g05550R,1303
BraA01g05560R,2574
BraA01g05570R,2341
BraA01g05580R,1249
BraA01g05590R,3857
BraA01g05600R,1626
BraA01g05610R,6173
BraA01g05620R,3231
BraA01g05630R,470
BraA01g05640R,4991
BraA01g05650R,2693
BraA01g05660R,4004
BraA01g05670R,588
BraA01g05680R,4692
BraA01g05690R,3646
BraA01g05700R,1530
BraA01g05710R,1571
BraA01g05720R,1902
BraA01g05730R,1073
BraA01g05740R,1190
BraA01g05750R,2868
BraA01g05760R,1182
BraA01g05770R,1002
BraA01g05780R,4153
BraA01g05790R,518
BraA01g05800R,2379
BraA01g05810R,803
BraA01g05820R,1205
BraA01g05830R,1334
BraA01g05840R,1284
BraA01g05850R,2431
BraA01g05860R,9435
BraA01g05870R,2276
BraA01g05880R,1394
BraA01g05890R,3308
BraA01g05900R,2359
BraA01g05910R,4785
BraA01g05920R,2630
BraA01g05930R,3524
BraA01g05940R,3616
BraA01g05950R,1780
BraA01g05960R,896
BraA01g05970R,2304
BraA01g05980R,3118
BraA01g05990R,6772
BraA01g06000R,792
BraA01g06010R,1168
BraA01g06020R,345
BraA01g06030R,1177
BraA01g06040R,5087
BraA01g06050R,563
BraA01g06060R,858
BraA01g06070R,1199
BraA01g06080R,1317
BraA01g06090R,3152
BraA01g06100R,825
BraA01g06110R,483
BraA01g06120R,978
BraA01g06130R,2546
BraA01g06140R,2132
BraA01g06150R,747
BraA01g06160R,632
BraA01g06170R,2066
BraA01g06180R,3005
BraA01g06190R,2125
BraA01g06200R,2159
BraA01g06210R,739
BraA01g06220R,16920
BraA01g06230R,2575
BraA01g06240R,4486
BraA01g06250R,773
BraA01g06260R,1736
BraA01g06270R,1860
BraA01g06280R,1592
BraA01g06290R,3668
BraA01g06300R,1752
BraA01g06310R,2917
BraA01g06320R,1129
BraA01g06330R,1515
BraA01g06340R,978
BraA01g06350R,1374
BraA01g06360R,1849
BraA01g06370R,4832
BraA01g06380R,2688
BraA01g06390R,3788
BraA01g06400R,2889
BraA01g06410R,1606
BraA01g06420R,2749
BraA01g06430R,3790
BraA01g06440R,1288
BraA01g06450R,641
BraA01g06460R,10069
BraA01g06470R,9404
BraA01g06480R,3131
BraA01g06490R,4089
BraA01g06500R,3922
BraA01g06510R,1056
BraA01g06520R,2327
BraA01g06530R,10591
BraA01g06540R,18007
BraA01g06550R,2292
BraA01g06560R,4159
BraA01g06570R,4460
BraA01g06580R,2681
BraA01g06590R,1533
BraA01g06600R,3299
BraA01g06610R,1407
BraA01g06620R,1321
BraA01g06630R,1183
BraA01g06640R,3473
BraA01g06650R,7481
BraA01g06660R,3867
BraA01g06670R,6321
BraA01g06680R,11955
BraA01g06690R,9995
BraA01g06700R,619
BraA01g06710R,2644
BraA01g06720R,2620
BraA01g06730R,3140
BraA01g06740R,2571
BraA01g06750R,288
BraA01g06760R,784
BraA01g06770R,1404
BraA01g06780R,24884
BraA01g06790R,1352
BraA01g06800R,2865
BraA01g06810R,836
BraA01g06820R,2475
BraA01g06830R,5576
BraA01g06840R,4650
BraA01g06850R,3238
BraA01g06860R,1202
BraA01g06870R,15293
BraA01g06880R,1220
BraA01g06890R,252
BraA01g06900R,2674
BraA01g06910R,2382
BraA01g06920R,414
BraA01g06930R,2710
BraA01g06940R,1480
BraA01g06950R,9997
BraA01g06960R,2534
BraA01g06970R,2543
BraA01g06980R,4274
BraA01g06990R,5218
BraA01g07000R,2416
BraA01g07010R,3000
BraA01g07020R,1541
BraA01g07030R,1406
BraA01g07040R,3510
BraA01g07050R,262
BraA01g07060R,3077
BraA01g07070R,3725
BraA01g07080R,2758
BraA01g07090R,3156
BraA01g07100R,2471
BraA01g07110R,462
BraA01g07120R,935
BraA01g07130R,1062
BraA01g07140R,5653
BraA01g07150R,1600
BraA01g07160R,1021
BraA01g07170R,3061
BraA01g07180R,485
BraA01g07190R,1564
BraA01g07200R,3289
BraA01g07210R,2218
BraA01g07220R,6907
BraA01g07230R,1170
BraA01g07240R,1577
BraA01g07250R,2652
BraA01g07260R,1859
BraA01g07270R,3092
BraA01g07280R,1429
BraA01g07290R,1960
BraA01g07300R,3795
BraA01g07310R,2383
BraA01g07320R,385
BraA01g07330R,183
BraA01g07340R,2625
BraA01g07350R,711
BraA01g07360R,2792
BraA01g07370R,3393
BraA01g07380R,2778
BraA01g07390R,3066
BraA01g07400R,1920
BraA01g07410R,1676
BraA01g07420R,561
BraA01g07430R,3869
BraA01g07440R,1673
BraA01g07450R,2810
BraA01g07460R,1308
BraA01g07470R,3698
BraA01g07480R,316
BraA01g07490R,1140
BraA01g07500R,2893
BraA01g07510R,3271
BraA01g07520R,948
BraA01g07530R,1609
BraA01g07540R,3575
BraA01g07550R,1651
BraA01g07560R,3283
BraA01g07570R,4533
BraA01g07580R,2405
BraA01g07590R,354
BraA01g07600R,524
BraA01g07610R,523
BraA01g07620R,2123
BraA01g07630R,822
BraA01g07640R,618
BraA01g07650R,1744
BraA01g07660R,2858
BraA01g07670R,11828
BraA01g07680R,723
BraA01g07690R,4109
BraA01g07700R,6989
BraA01g07710R,3284
BraA01g07720R,3971
BraA01g07730R,234
BraA01g07740R,891
BraA01g07750R,3488
BraA01g07760R,2613
BraA01g07770R,1981
BraA01g07780R,1322
BraA01g07790R,1470
BraA01g07800R,7194
BraA01g07810R,744
BraA01g07820R,2810
BraA01g07830R,962
BraA01g07840R,4022
BraA01g07850R,1058
BraA01g07860R,2340
BraA01g07870R,2394
BraA01g07880R,4267
BraA01g07890R,222
BraA01g07900R,1169
BraA01g07910R,1759
BraA01g07920R,1507
BraA01g07930R,4067
BraA01g07940R,585
BraA01g07950R,441
BraA01g07960R,1714
BraA01g07970R,4366
BraA01g07980R,2478
BraA01g07990R,4698
BraA01g08000R,4615
BraA01g08010R,465
BraA01g08020R,523
BraA01g08030R,1287
BraA01g08040R,5265
BraA01g08050R,2026
BraA01g08060R,330
BraA01g08070R,11313
BraA01g08080R,3492
BraA01g08090R,651
BraA01g08100R,1152
BraA01g08110R,2602
BraA01g08120R,7153
BraA01g08130R,853
BraA01g08140R,4107
BraA01g08150R,4107
BraA01g08160R,3566
BraA01g08170R,3667
BraA01g08180R,1799
BraA01g08190R,7576
BraA01g08200R,3202
BraA01g08210R,2543
BraA01g08220R,5388
BraA01g08230R,4881
BraA01g08240R,11061
BraA01g08250R,4320
BraA01g08260R,7944
BraA01g08270R,4558
BraA01g08280R,5498
BraA01g08290R,827
BraA01g08300R,7043
BraA01g08310R,2102
BraA01g08320R,7341
BraA01g08330R,3634
BraA01g08340R,2885
BraA01g08350R,1381
BraA01g08360R,678
BraA01g08370R,3801
BraA01g08380R,6596
BraA01g08390R,4111
BraA01g08400R,9259
BraA01g08410R,1303
BraA01g08420R,942
BraA01g08430R,5847
BraA01g08440R,2437
BraA01g08450R,3603
BraA01g08460R,2082
BraA01g08470R,3557
BraA01g08480R,3218
BraA01g08490R,732
BraA01g08500R,2493
BraA01g08510R,7338
BraA01g08520R,606
BraA01g08530R,519
BraA01g08540R,2837
BraA01g08550R,3306
BraA01g08560R,3283
BraA01g08570R,930
BraA01g08580R,1120
BraA01g08590R,1156
BraA01g08600R,1207
BraA01g08610R,2563
BraA01g08620R,2717
BraA01g08630R,1345
BraA01g08640R,5595
BraA01g08650R,1860
BraA01g08660R,1393
BraA01g08670R,1961
BraA01g08680R,692
BraA01g08690R,1859
BraA01g08700R,1034
BraA01g08710R,1393
BraA01g08720R,6311
BraA01g08730R,12725
BraA01g08740R,1281
BraA01g08750R,5168
BraA01g08760R,3348
BraA01g08770R,1862
BraA01g08780R,2538
BraA01g08790R,1932
BraA01g08800R,1068
BraA01g08810R,384
BraA01g08820R,1041
BraA01g08830R,1205
BraA01g08840R,2546
BraA01g08850R,4353
BraA01g08860R,3017
BraA01g08870R,2567
BraA01g08880R,468
BraA01g08890R,5184
BraA01g08900R,431
BraA01g08910R,898
BraA01g08920R,1645
BraA01g08930R,1739
BraA01g08940R,2269
BraA01g08950R,3039
BraA01g08960R,5209
BraA01g08970R,1919
BraA01g08980R,1830
BraA01g08990R,1940
BraA01g09000R,2935
BraA01g09010R,596
BraA01g09020R,1048
BraA01g09030R,342
BraA01g09040R,3694
BraA01g09050R,2554
BraA01g09060R,2969
BraA01g09070R,688
BraA01g09080R,2324
BraA01g09090R,2204
BraA01g09100R,7949
BraA01g09110R,2947
BraA01g09120R,1572
BraA01g09130R,3018
BraA01g09140R,1515
BraA01g09150R,3841
BraA01g09160R,5533
BraA01g09170R,3239
BraA01g09180R,2472
BraA01g09190R,2082
BraA01g09200R,2868
BraA01g09210R,718
BraA01g09220R,2538
BraA01g09230R,2834
BraA01g09240R,825
BraA01g09250R,2800
BraA01g09260R,1560
BraA01g09270R,2263
BraA01g09280R,2507
BraA01g09290R,1430
BraA01g09300R,2577
BraA01g09310R,1838
BraA01g09320R,408
BraA01g09330R,2846
BraA01g09340R,1770
BraA01g09350R,609
BraA01g09360R,1479
BraA01g09370R,3163
BraA01g09380R,8172
BraA01g09390R,1342
BraA01g09400R,1524
BraA01g09410R,10598
BraA01g09420R,6207
BraA01g09430R,4050
BraA01g09440R,9530
BraA01g09450R,937
BraA01g09460R,492
BraA01g09470R,2514
BraA01g09480R,2106
BraA01g09490R,243
BraA01g09500R,1230
BraA01g09510R,3246
BraA01g09520R,775
BraA01g09530R,6157
BraA01g09540R,5056
BraA01g09550R,2074
BraA01g09560R,2516
BraA01g09570R,947
BraA01g09580R,2151
BraA01g09590R,7649
BraA01g09600R,7666
BraA01g09610R,1714
BraA01g09620R,3217
BraA01g09630R,2432
BraA01g09640R,495
BraA01g09650R,1509
BraA01g09660R,1146
BraA01g09670R,5112
BraA01g09680R,2751
BraA01g09690R,792
BraA01g09700R,2676
BraA01g09710R,2589
BraA01g09720R,861
BraA01g09730R,9346
BraA01g09740R,2191
BraA01g09750R,1366
BraA01g09760R,2205
BraA01g09770R,1429
BraA01g09780R,3197
BraA01g09790R,1606
BraA01g09800R,228
BraA01g09810R,1520
BraA01g09820R,2156
BraA01g09830R,988
BraA01g09840R,991
BraA01g09850R,3470
BraA01g09860R,1282
BraA01g09870R,3329
BraA01g09880R,990
BraA01g09890R,1230
BraA01g09900R,5667
BraA01g09910R,1113
BraA01g09920R,318
BraA01g09930R,2603
BraA01g09940R,2517
BraA01g09950R,2045
BraA01g09960R,2547
BraA01g09970R,1972
BraA01g09980R,242
BraA01g09990R,2433
BraA01g10000R,2087
BraA01g10010R,2180
BraA01g10020R,1669
BraA01g10030R,2974
BraA01g10040R,2304
BraA01g10050R,2375
BraA01g10060R,2240
BraA01g10070R,3441
BraA01g10080R,837
BraA01g10090R,735
BraA01g10100R,801
BraA01g10110R,3010
BraA01g10120R,8247
BraA01g10130R,5210
BraA01g10140R,2064
BraA01g10150R,987
BraA01g10160R,339
BraA01g10170R,4258
BraA01g10180R,3366
BraA01g10190R,3947
BraA01g10200R,3460
BraA01g10210R,5367
BraA01g10220R,5196
BraA01g10230R,3163
BraA01g10240R,2860
BraA01g10250R,702
BraA01g10260R,1389
BraA01g10270R,970
BraA01g10280R,2034
BraA01g10290R,6421
BraA01g10300R,3549
BraA01g10310R,3380
BraA01g10320R,4292
BraA01g10330R,4325
BraA01g10340R,2201
BraA01g10350R,1967
BraA01g10360R,3102
BraA01g10370R,3167
BraA01g10380R,1968
BraA01g10390R,2160
BraA01g10400R,2357
BraA01g10410R,2502
BraA01g10420R,3491
BraA01g10430R,1509
BraA01g10440R,1587
BraA01g10450R,2689
BraA01g10460R,2925
BraA01g10470R,450
BraA01g10480R,1570
BraA01g10490R,1471
BraA01g10500R,3782
BraA01g10510R,4834
BraA01g10520R,2671
BraA01g10530R,3565
BraA01g10540R,2962
BraA01g10550R,10184
BraA01g10560R,3119
BraA01g10570R,2670
BraA01g10580R,1349
BraA01g10590R,3837
BraA01g10600R,1211
BraA01g10610R,3460
BraA01g10620R,4212
BraA01g10630R,2726
BraA01g10640R,1731
BraA01g10650R,326
BraA01g10660R,543
BraA01g10670R,482
BraA01g10680R,8055
BraA01g10690R,348
BraA01g10700R,1465
BraA01g10710R,537
BraA01g10720R,4079
BraA01g10730R,2599
BraA01g10740R,4343
BraA01g10750R,2934
BraA01g10760R,2292
BraA01g10770R,3282
BraA01g10780R,2779
BraA01g10790R,1641
BraA01g10800R,384
BraA01g10810R,3143
BraA01g10820R,3942
BraA01g10830R,1845
BraA01g10840R,2414
BraA01g10850R,1550
BraA01g10860R,3204
BraA01g10870R,1951
BraA01g10880R,888
BraA01g10890R,5399
BraA01g10900R,893
BraA01g10910R,1698
BraA01g10920R,2952
BraA01g10930R,2185
BraA01g10940R,1547
BraA01g10950R,746
BraA01g10960R,1227
BraA01g10970R,4673
BraA01g10980R,1654
BraA01g10990R,1938
BraA01g11000R,3728
BraA01g11010R,1466
BraA01g11020R,4075
BraA01g11030R,3089
BraA01g11040R,2012
BraA01g11050R,4745
BraA01g11060R,14070
BraA01g11070R,1782
BraA01g11080R,438
BraA01g11090R,2751
BraA01g11100R,750
BraA01g11110R,1139
BraA01g11120R,2345
BraA01g11130R,2503
BraA01g11140R,2158
BraA01g11150R,9106
BraA01g11160R,1369
BraA01g11170R,4015
BraA01g11180R,4436
BraA01g11190R,5512
BraA01g11200R,4001
BraA01g11210R,1545
BraA01g11220R,2307
BraA01g11230R,2347
BraA01g11240R,687
BraA01g11250R,1168
BraA01g11260R,189
BraA01g11270R,189
BraA01g11280R,1152
BraA01g11290R,2129
BraA01g11300R,2079
BraA01g11310R,6771
BraA01g11320R,560
BraA01g11330R,1012
BraA01g11340R,5967
BraA01g11350R,1394
BraA01g11360R,2887
BraA01g11370R,13031
BraA01g11380R,3950
BraA01g11390R,4954
BraA01g11400R,4308
BraA01g11410R,742
BraA01g11420R,1169
BraA01g11430R,3075
BraA01g11440R,2497
BraA01g11450R,4127
BraA01g11460R,1768
BraA01g11470R,1185
BraA01g11480R,1531
BraA01g11490R,2797
BraA01g11500R,1403
BraA01g11510R,556
BraA01g11520R,400
BraA01g11530R,1014
BraA01g11540R,1610
BraA01g11550R,2404
BraA01g11560R,258
BraA01g11570R,3870
BraA01g11580R,527
BraA01g11590R,563
BraA01g11600R,645
BraA01g11610R,1984
BraA01g11620R,1121
BraA01g11630R,3002
BraA01g11640R,2953
BraA01g11650R,1175
BraA01g11660R,3349
BraA01g11670R,243
BraA01g11680R,562
BraA01g11690R,1868
BraA01g11700R,1364
BraA01g11710R,6183
BraA01g11720R,363
BraA01g11730R,2597
BraA01g11740R,765
BraA01g11750R,2021
BraA01g11760R,1398
BraA01g11770R,1170
BraA01g11780R,261
BraA01g11790R,1995
BraA01g11800R,1368
BraA01g11810R,6929
BraA01g11820R,2501
BraA01g11830R,588
BraA01g11840R,290
BraA01g11850R,732
BraA01g11860R,2426
BraA01g11870R,2208
BraA01g11880R,2951
BraA01g11890R,540
BraA01g11900R,381
BraA01g11910R,2270
BraA01g11920R,810
BraA01g11930R,1550
BraA01g11940R,1070
BraA01g11950R,1173
BraA01g11960R,765
BraA01g11970R,8334
BraA01g11980R,1589
BraA01g11990R,607
BraA01g12000R,12994
BraA01g12010R,216
BraA01g12020R,596
BraA01g12030R,16577
BraA01g12040R,297
BraA01g12050R,729
BraA01g12060R,321
BraA01g12070R,446
BraA01g12080R,959
BraA01g12090R,1269
BraA01g12100R,302
BraA01g12110R,264
BraA01g12120R,524
BraA01g12130R,791
BraA01g12140R,5482
BraA01g12150R,1539
BraA01g12160R,4212
BraA01g12170R,2518
BraA01g12180R,1177
BraA01g12190R,1941
BraA01g12200R,1049
BraA01g12210R,1325
BraA01g12220R,1885
BraA01g12230R,3514
BraA01g12240R,787
BraA01g12250R,3179
BraA01g12260R,2577
BraA01g12270R,4180
BraA01g12280R,2013
BraA01g12290R,4261
BraA01g12300R,1593
BraA01g12310R,2966
BraA01g12320R,1278
BraA01g12330R,782
BraA01g12340R,3732
BraA01g12350R,1038
BraA01g12360R,1867
BraA01g12370R,2296
BraA01g12380R,2715
BraA01g12390R,4400
BraA01g12400R,1688
BraA01g12410R,2927
BraA01g12420R,3240
BraA01g12430R,1716
BraA01g12440R,219
BraA01g12450R,3206
BraA01g12460R,3056
BraA01g12470R,1915
BraA01g12480R,2984
BraA01g12490R,453
BraA01g12500R,4925
BraA01g12510R,7034
BraA01g12520R,1539
BraA01g12530R,6663
BraA01g12540R,2980
BraA01g12550R,1461
BraA01g12560R,1481
BraA01g12570R,1141
BraA01g12580R,4683
BraA01g12590R,387
BraA01g12600R,4064
BraA01g12610R,487
BraA01g12620R,546
BraA01g12630R,2088
BraA01g12640R,3524
BraA01g12650R,1552
BraA01g12660R,1269
BraA01g12670R,3872
BraA01g12680R,1891
BraA01g12690R,1395
BraA01g12700R,6267
BraA01g12710R,2706
BraA01g12720R,273
BraA01g12730R,602
BraA01g12740R,8246
BraA01g12750R,1077
BraA01g12760R,4151
BraA01g12770R,1026
BraA01g12780R,594
BraA01g12790R,4521
BraA01g12800R,6388
BraA01g12810R,1407
BraA01g12820R,1421
BraA01g12830R,1476
BraA01g12840R,873
